"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"RO2108D","RO2108",1,"DNA","Shallow",11,2017,"Summer","2017-08-15",50.8987372446898,-63.2472313117024,"RO2"
"RO2108R","RO2108",1,"cDNA","Shallow",12,2017,"Summer","2017-08-15",50.8987372446898,-63.2472313117024,"RO2"
"RO2110D","RO2110",1,"DNA","Shallow",11,2017,"Summer","2017-08-15",50.8226619704731,-63.1927175778933,"RO2"
"RO2110R","RO2110",1,"cDNA","Shallow",12,2017,"Summer","2017-08-15",50.8226619704731,-63.1927175778933,"RO2"
"RO2111D","RO2111",1,"DNA","Shallow",11,2017,"Summer","2017-08-15",50.6568,-63.26298,"RO2"
"RO2111R","RO2111",1,"cDNA","Shallow",12,2017,"Summer","2017-08-15",50.6568,-63.26298,"RO2"
"RO2111.40m.D","RO2111.40m",1,"DNA","Shallow",11,2017,"Summer","2017-08-15",50.6568,-63.26298,"Deep"
"RO2111.40m.R","RO2111.40m",1,"cDNA","Shallow",12,2017,"Summer","2017-08-15",50.6568,-63.26298,"Deep"
"RO2111.90m.D","RO2111.90m",1,"DNA","Shallow",11,2017,"Summer","2017-08-15",50.6568,-63.26298,"Deep"
"RO2111.90m.R","RO2111.90m",1,"cDNA","Shallow",12,2017,"Summer","2017-08-15",50.6568,-63.26298,"Deep"
"RO2113D","RO2113",1,"DNA","Shallow",11,2017,"Summer","2017-08-15",50.7168841284306,-63.2590529538016,"RO2"
"RO2113R","RO2113",1,"cDNA","Shallow",12,2017,"Summer","2017-08-15",50.7168841284306,-63.2590529538016,"RO2"
"RO297D","RO297",1,"DNA","Shallow",11,2017,"Summer","2017-08-11",50.82479,-63.17999,"RO2"
"RO297R","RO297",1,"cDNA","Shallow",12,2017,"Summer","2017-08-11",50.82479,-63.17999,"RO2"
"RO298D","RO298",1,"DNA","Shallow",11,2017,"Summer","2017-08-11",50.80039,-63.20394,"RO2"
"RO298R","RO298",1,"cDNA","Shallow",12,2017,"Summer","2017-08-11",50.80039,-63.20394,"RO2"
