"folder.path","file.path","original.name","ID.2015","pairend","final_name","dr_match_name","replicate","plate.id","year","dna_type","seq_depth","ext"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0237.LR054_R1.fastq.gz","LR054","SWPR01","FWD","SWPR01D","SWPR01",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0237.LR054_R2.fastq.gz","LR054","SWPR01","RVS","SWPR01D","SWPR01",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0238.LR066_R1.fastq.gz","LR066","SWLR03","FWD","SWLR03D","SWLR03",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0238.LR066_R2.fastq.gz","LR066","SWLR03","RVS","SWLR03D","SWLR03",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0239.LR078_R1.fastq.gz","LR078","SLR01","FWD","SLR01D","SLR01",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0239.LR078_R2.fastq.gz","LR078","SLR01","RVS","SLR01D","SLR01",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0240.LR090_R1.fastq.gz","LR090","SED319","FWD","SED319D","SED319",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0240.LR090_R2.fastq.gz","LR090","SED319","RVS","SED319D","SED319",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0241.LR007_R1.fastq.gz","LR007","LR03","FWD","LR03D","LR03",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0241.LR007_R2.fastq.gz","LR007","LR03","RVS","LR03D","LR03",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0242.LR019_R1.fastq.gz","LR019","LR19","FWD","LR19D","LR19",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0242.LR019_R2.fastq.gz","LR019","LR19","RVS","LR19D","LR19",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0243.LR031_R1.fastq.gz","LR031","RO2-08","FWD","RO208D","RO208",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0243.LR031_R2.fastq.gz","LR031","RO2-08","RVS","RO208D","RO208",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0244.LR043_R1.fastq.gz","LR043","WELL2","FWD","WELL2D","WELL2",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0244.LR043_R2.fastq.gz","LR043","WELL2","RVS","WELL2D","WELL2",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0245.LR055_R1.fastq.gz","LR055","SWPR02","FWD","SWPR02D","SWPR02",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0245.LR055_R2.fastq.gz","LR055","SWPR02","RVS","SWPR02D","SWPR02",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0246.LR067_R1.fastq.gz","LR067","SWLR04","FWD","SWLR04D","SWLR04",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0246.LR067_R2.fastq.gz","LR067","SWLR04","RVS","SWLR04D","SWLR04",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0247.LR079_R1.fastq.gz","LR079","SLR02","FWD","SLR02D","SLR02",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0247.LR079_R2.fastq.gz","LR079","SLR02","RVS","SLR02D","SLR02",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0248.LR091_R1.fastq.gz","LR091","LRH11","FWD","LRH11D","LRH11",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0248.LR091_R2.fastq.gz","LR091","LRH11","RVS","LRH11D","LRH11",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0249.LR008_R1.fastq.gz","LR008","LR05","FWD","LR05D","LR05",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0249.LR008_R2.fastq.gz","LR008","LR05","RVS","LR05D","LR05",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0250.LR020_R1.fastq.gz","LR020","LR20","FWD","LR20D","LR20",1,1,"2015","DNA","Shallow","_R1.fastq.gz"
"./Raw/LaRomaine_2015_1","MI.M00833_0424.001.FLD0250.LR020_R2.fastq.gz","LR020","LR20","RVS","LR20D","LR20",1,1,"2015","DNA","Shallow","_R2.fastq.gz"
