sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	nucleic_acid_type	replicate	sampling_depth_m
RO2111R	RO2111	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.6568 N 63.26298 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO2111.40m.D	RO2111.40m	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.6568 N 63.26298 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	40
RO2111.40m.R	RO2111.40m	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.6568 N 63.26298 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	40
RO2111.90m.D	RO2111.90m	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.6568 N 63.26298 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	80
RO2111.90m.R	RO2111.90m	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.6568 N 63.26298 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	80
RO2113D	RO2113	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.7168841284306 N 63.2590529538016 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO2113R	RO2113	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-15	Canada:Quebec	50.7168841284306 N 63.2590529538016 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO297D	RO297	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	50.82479 N 63.17999 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO297R	RO297	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	50.82479 N 63.17999 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO298D	RO298	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	50.80039 N 63.20394 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO298R	RO298	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	50.80039 N 63.20394 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO298.7m.D	RO298.7m	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	50.80039 N 63.20394 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	7
RO298.7m.R	RO298.7m	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	50.80039 N 63.20394 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	7
RO301D	RO301	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	51.3118994887173 N 63.4259373158468 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO301R	RO301	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	51.3118994887173 N 63.4259373158468 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO301.Hypo.D	RO301.Hypo	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	51.3118994887173 N 63.4259373158468 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	53.7
RO301.Hypo.R	RO301.Hypo	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	51.3118994887173 N 63.4259373158468 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	53.7
RO304D	RO304	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	51.1896697037461 N 63.3588511506079 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO304R	RO304	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-10	Canada:Quebec	51.1896697037461 N 63.3588511506079 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
RO307D	RO307	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	51.2830197766487 N 63.3743239739394 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
RO307R	RO307	PRJNA693020	Reservoir metagenome	NA	Reservoir	2017-08-11	Canada:Quebec	51.2830197766487 N 63.3743239739394 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
TR56D	TR56	PRJNA693020	Tributary metagenome	NA	Tributary	2017-08-18	Canada:Quebec	50.31016 N 63.66162 W	NA	NA	NA	NA	NA	NA	NA	DNA	1	0.3
TR56R	TR56	PRJNA693020	Tributary metagenome	NA	Tributary	2017-08-18	Canada:Quebec	50.31016 N 63.66162 W	NA	NA	NA	NA	NA	NA	NA	cDNA	1	0.3
